간지,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,tbl_code
午,,,,,,천의성,,,,,,천덕귀인,db07_mj_ydtj
未,,,,,,,천의성,,,,,,db07_mj_ydtj
申,,,,,,,,천의성,,,,,db07_mj_ydtj
酉,,,천덕귀인,,,,,,천의성,,,,db07_mj_ydtj
戌,,,,,,,,,,천의성,,,db07_mj_ydtj
亥,,,,,,,,,,,천의성,,db07_mj_ydtj
子,,급각,,,급각,,,,,,,,db08_mj_ydtj-mj_hyj
丑,,급각,,,급각,,,,,,,,db08_mj_ydtj-mj_hyj
寅,급각,,,,,,,,,,,급각,db08_mj_ydtj-mj_hyj
卯,급각,,,,,,,,,,,급각,db08_mj_ydtj-mj_hyj
辰,급각,,,,,,,,,,,급각,db08_mj_ydtj-mj_hyj
巳,,,,급각,,,,급각,,,,,db08_mj_ydtj-mj_hyj
午,,,,급각,,,,급각,,,,,db08_mj_ydtj-mj_hyj
未,,,,급각,,,,급각,,,,,db08_mj_ydtj-mj_hyj
申,,,급각,,,,,,,,급각,,db08_mj_ydtj-mj_hyj
酉,,,급각,,,,,,,,급각,,db08_mj_ydtj-mj_hyj
戌,,,급각,,,,,,,,급각,,db08_mj_ydtj-mj_hyj
亥,,급각,,,급각,,,,,,,,db08_mj_ydtj-mj_hyj
子,,,,삼재,삼재,,,,,,,,db09_-yj_hyj
丑,,삼재,,,,,,,,,,,db09_-yj_hyj
寅,,,,,,,,,삼재,삼재,삼재,,db09_-yj_hyj
卯,,,,,,,삼재,삼재,,,,,db09_-yj_hyj
辰,,,,,삼재,,,,,,,,db09_-yj_hyj
巳,삼재,삼재,,,,,,,,,,삼재,db09_-yj_hyj
午,,,,,,,,,,삼재,삼재,,db09_-yj_hyj
未,,,,,,,,삼재,,,,,db09_-yj_hyj
申,,,삼재,삼재,삼재,,,,,,,,db09_-yj_hyj
酉,삼재,삼재,,,,,,,,,,,db09_-yj_hyj
戌,,,,,,,,,,,삼재,,db09_-yj_hyj
亥,,,,,,삼재,삼재,삼재,,,,,db09_-yj_hyj
